店名,種類,地址,評價,評分人數
吾素齋人文餐飲,restaurant,403台灣臺中市西區康樂街14號,4.5,211
津好味蔬食家,restaurant,400台灣臺中市中區臺灣大道一段580號,4.9,35
BAA / Veg Cuisine 蔬食餐廳,restaurant,403台灣臺中市西區民生路47巷5號,4.8,505
大豐野菜館（滷菩提）,restaurant,403台灣臺中市西區向上北路184號,4.5,2533
THE ARIGATOU 蔬食餐廳,restaurant,40447台灣臺中市北區美德街32號,4.8,716
四朱一而蔬食館,restaurant,400台灣臺中市中區建國路197號,4.5,263
不葷主義茶餐廳,restaurant,408台灣臺中市南屯區公益路二段21號,4.9,9324
滴咖濃 干城轉運店—能量咖啡｜蔬食｜早午餐｜Vegetarian Cafe & Brunch,"restaurant, store",400台灣臺中市中區雙十路一段35-14號,4.6,56
蔬食本色素食坊 Pure Gourmet,restaurant,401台灣臺中市東區大勇街26號,4.6,1012
VEGESM 饗蔬職人 中友店,restaurant,404台灣台中市北区三民路三段161號中友百貨C棟B3內 五權路500巷5弄14號,4.6,1124
易素緣 歡迎來電預訂（素食飯捲/火鍋/便當/各式麵類）,restaurant,402台灣臺中市南區台中路40號,4.8,637
空也素麵食,restaurant,407台灣臺中市西屯區朝富五街10號,4.6,5799
斐得蔬食-西區蔬食料理|蔬食餐廳|素食美食|素食餐廳|素食披薩|素食義大利麵|蔬食漢堡|創意蔬食料理,restaurant,403台灣臺中市西區美村路一段488號,4.5,2331
萬仙樓素食館,restaurant,406台灣臺中市北屯區中清路二段1020號1樓,4.6,557
［釀善］三津制麵 | 台中249老宅店,restaurant,400台灣臺中市中區中山路249號,4.7,204
幸福小丸子,restaurant,404台灣臺中市北區一中街145號,4.8,275
觀世音有機生活館,restaurant,400台灣臺中市中區成功路22號,4.6,181
VegesM饗蔬職人-勤美店,restaurant,403台灣臺中市西區美村路一段83巷12號,4.7,1871
蔬攤,"restaurant, store",404台灣臺中市北區中清路一段25巷,4.7,100
國際耀谷素食餐飲,restaurant,433台灣臺中市沙鹿區中山路185號,4.5,1808
美美素食鹹酥雞，鐵板麵，咖哩飯,restaurant,400台灣臺中市中區中華路一段142號,4.6,287
草食堂御飯糰販賣機,,400台灣臺中市中區臺灣大道一段3號,4.7,44
東方喜悅蔬食餐廳 - East Joy Vegetarian,restaurant,408台灣臺中市南屯區東興東街101號,5.0,2451
純植烘焙所,"restaurant, store",400台灣臺中市中區民權路186巷3弄2號,4.7,148
漢來蔬食 台中廣三SOGO店,restaurant,403台灣臺中市西區臺灣大道二段459號16樓,4.5,1183
舒邦印度蔬食餐廳Shubham Indian Veg. Cuisine（印度餐廳/異國蔬食料理）,restaurant,403台灣臺中市西區向上路一段95-3號,4.8,719
鐵鹿大街,,400台灣臺中市中區臺灣大道一段1號,4.6,2251
廣福樸園精緻蔬食館,restaurant,403台灣臺中市西區精誠一街21號,4.5,636
Quisine 菓芯蔬食餐酒館,"bar, cafe, restaurant, store",406台灣臺中市北屯區瀋陽路二段179號,4.8,1001
安康素食滷味,restaurant,404台灣臺中市北區一中街148-8號,4.7,383
福緣素食蔬食料理(台中市西區中美街）,restaurant,403台灣臺中市西區中美街278號,4.5,445
第二市場美景素食麵,restaurant,400台灣臺中市中區臺灣大道一段1號403 巷(機車停車場旁,4.5,61
浤淇蔬.素 素食湯包.蒸餃.義大利麵.小吃,restaurant,402台灣臺中市南區復興路三段387號1樓,4.7,185
臭豆腐王子總店,restaurant,403台灣臺中市西區日新街85號西屯路一段113對面,4.5,262
遊盒麵-24H自助餐廳,"restaurant, store",400台灣臺中市中區市府路115號,4.8,278
福屋拉麵,restaurant,401台灣臺中市東區振興路2-5號,4.5,1154
韓石食堂-台中車站1F(鐵鹿大街),restaurant,40043台灣臺中市中區臺灣大道一段一號,4.6,1050
熱浪小島-北屯店,restaurant,406台灣臺中市北屯區南興路561號,4.7,280
光寓蔬食ひかり｜台中素食（無訂位，現場候位制）,restaurant,404台灣臺中市北區忠明路133號,4.7,279
饗樂蔬房🥬｜北區素食推薦｜台中素食餐廳｜義大利麵｜便當｜商業午餐｜推薦套餐｜捷運素食|天津路年貨大街|天津路素食|母親節素食餐廳,restaurant,404台灣臺中市北區北平路一段87號1樓,4.9,170
野菜豐蔬食館（滷菩提蔬食漢口店）,restaurant,406台灣臺中市北屯區漢口路五段43號,4.5,1439
OOO Cafe & Bistro 歐歐歐蔬食餐酒館(平日15:00-17:30休息)｜北區素食｜無酒精飲品販售｜聚會餐廳,restaurant,404台灣臺中市北區德化街580號,4.7,270
寒山居蔬食-北區推薦素食I北區必吃蔬食I素食辣椒酱I素食醬料素食調理包I麻辣素食,restaurant,404台灣臺中市北區永興街88號,4.7,911
轉念蔬食料理,restaurant,404台灣臺中市北區北平路二段81號,4.8,82
天然素食午晚餐,restaurant,404台灣臺中市北區博館二街30-1號號,4.6,92
龍廚素食（純素無蛋無奶無五辛）（台式拉麵、拌飯）,restaurant,404台灣臺中市北區永興街210號,4.7,651
善緣素食堂,restaurant,404台灣臺中市北區太原四街6-1號,5.0,91
十方素食(五義街),restaurant,404台灣臺中市北區五義街130號,4.5,540
樂水坊蔬食,restaurant,404台灣臺中市北區國強街84號,4.9,120
森林小徑 健行店,"cafe, restaurant, store",404台灣臺中市北區健行路480-1號,4.8,1350
蔬想起蔬食料理 素食(以單點為主，不定期推出新品）,restaurant,406043台灣臺中市北屯區雷中街2-15號,4.6,406
妙來健康蔬食（素食）【科博館美食｜科博館午餐｜素食餐廳｜內用餐廳｜平價美食｜特色小吃】,restaurant,404台灣臺中市北區英才路389號,4.6,253
蓮花創越素食/台中蔬食/北屯美食/北屯餐廳,restaurant,406台灣臺中市北屯區旅順路二段16號,4.7,213
心晴蔬食,restaurant,404台灣臺中市北區衛道路212號,4.9,60
菜大蔬 菜菜補給站/ 素食早午餐/ 海苔御飯糰おにぎり/ 熱壓吐司/ 鍋燒.雞絲.冬粉.烏龍麵/ 咖哩飯/泰式.沙茶.麻辣/Vegetarian Food,"restaurant, store",406台灣臺中市北屯區國校巷7-1號,4.7,598
一葉方舟 | 私房純素蔬食料理 | 創始店 | 台中蔬食餐廳 | 炒飯 | 餐盒,restaurant,406台灣臺中市北屯區瀋陽路三段325號,4.6,104
達蔬蔬食炸物,restaurant,404台灣臺中市北區北平路二段102之13號,4.5,256
臭大蔬 - 台中永興店,"restaurant, store",404台灣臺中市北區永興街92號,4.9,476
陶然左岸蔬食,restaurant,406台灣臺中市北屯區松竹路一段468-1號,4.5,2697
吉棧素食(陝西店),restaurant,404台灣臺中市北區陝西路71號,4.6,388
兔子遇到熊little oven 景觀/義大利麵/窯烤披薩-北屯蔬食餐廳|素食美食|素食餐廳|蔬食料理|特色蔬食|必吃素食|景觀餐廳|窯烤披薩,"cafe, restaurant, store",406020台灣臺中市北屯區松竹路一段5之1號,4.7,707
天然素食,restaurant,404台灣台中市北区篤行路39號,4.9,33
大德素食,restaurant,404台灣臺中市北區大德街109號,4.6,198
竺玉 禪蔬拉麵(蔬食・素食),restaurant,404台灣臺中市北區北平路二段17號,4.9,234
